"url","template","indexable","robots","canonical","in_sitemap"
"https://kindredtrips.com/resort/bahia-principe-luxury-sian-ka-an","resort","false","noindex, follow","https://kindredtrips.com/resort/bahia-principe-luxury-sian-ka-an","false"
"https://kindredtrips.com/resort/bakour-punta-cana-suites","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/bakour-punta-cana-suites","true"
"https://kindredtrips.com/resort/baoase-luxury-resort","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/baoase-luxury-resort","true"
"https://kindredtrips.com/resort/barbados-beach-club","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/barbados-beach-club","true"
"https://kindredtrips.com/resort/barcelo-aruba","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/barcelo-aruba","true"
"https://kindredtrips.com/resort/barcelo-bavaro-beach","resort","false","noindex, follow","https://kindredtrips.com/resort/barcelo-bavaro-beach","false"
"https://kindredtrips.com/resort/barcelo-bavaro-palace","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/barcelo-bavaro-palace","true"
"https://kindredtrips.com/resort/barcelo-huatulco","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/barcelo-huatulco","true"
"https://kindredtrips.com/resort/barcelo-ixtapa","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/barcelo-ixtapa","true"
"https://kindredtrips.com/resort/barcelo-karmina","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/barcelo-karmina","true"
"https://kindredtrips.com/resort/barcelo-maya-caribe","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/barcelo-maya-caribe","true"
"https://kindredtrips.com/resort/barcelo-maya-colonial-all-inclusive","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/barcelo-maya-colonial-all-inclusive","true"
"https://kindredtrips.com/resort/barcelo-maya-palace","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/barcelo-maya-palace","true"
"https://kindredtrips.com/resort/barcelo-maya-riviera","resort","false","noindex, follow","https://kindredtrips.com/resort/barcelo-maya-riviera","false"
"https://kindredtrips.com/resort/barcelo-maya-tropical","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/barcelo-maya-tropical","true"
"https://kindredtrips.com/resort/barcelo-montelimar","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/barcelo-montelimar","true"
"https://kindredtrips.com/resort/barcelo-puerto-vallarta","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/barcelo-puerto-vallarta","true"
"https://kindredtrips.com/resort/barcelo-tambor-all-inclusive","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/barcelo-tambor-all-inclusive","true"
"https://kindredtrips.com/resort/bay-gardens-beach-resort","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/bay-gardens-beach-resort","true"
